request_datetime,response_datetime,event_id,account_id,branch_code,amount,jenis_mutasi,nomor_referensi,nomor_referensi_fwd,keterangan,amount_debit,amount_credit
2024-12-31 15:04:42.592986,2024-12-31 15:04:42.984696,a87ff075-5eb3-436d-92e1-adcf0744a817,8888060053,888,2000.0000,C,89fea106-c32e-45ff-b993-19bb7e733f82,BCA490946991R,REV Trf VA BCA (PAJAK KENDARAAN - Customer BCA Virtual Account),,2000.0000
2024-12-31 15:04:42.592986,2024-12-31 15:04:42.984696,a87ff075-5eb3-436d-92e1-adcf0744a817,8888060053,888,25000.0000,C,89fea106-c32e-45ff-b993-19bb7e733f82,BCA490946991R,REV Trf VA BCA (PAJAK KENDARAAN - Customer BCA Virtual Account),,25000.0000
2024-12-31 15:04:39.620000,2024-12-31 15:04:39.999886,5f497e37-b5ca-436b-b68b-1beec6224b53,8888060053,888,25000.0000,D,2b0a21bc-cd9b-46f0-b3a2-b1a8b7dfa198,BCA490946991,Trf VA BCA (PAJAK KENDARAAN - Customer BCA Virtual Account),25000.0000,
2024-12-31 15:04:39.620000,2024-12-31 15:04:39.999886,5f497e37-b5ca-436b-b68b-1beec6224b53,8888060053,888,2000.0000,D,2b0a21bc-cd9b-46f0-b3a2-b1a8b7dfa198,BCA490946991,Trf VA BCA (PAJAK KENDARAAN - Customer BCA Virtual Account),2000.0000,
2024-12-31 13:58:49.424336,2024-12-31 13:58:49.791935,4cde4ad4-33cc-49f3-b036-6a149eaa8686,8888077875,888,1500.0000,D,4fcee519-f17e-4ada-8d2b-87d4761d922d,BCA327066759,Pembelian Pulsa - Tri Rp20.000 0008970012730,1500.0000,
2024-12-31 13:58:49.424336,2024-12-31 13:58:49.791935,4cde4ad4-33cc-49f3-b036-6a149eaa8686,8888077875,888,20000.0000,D,4fcee519-f17e-4ada-8d2b-87d4761d922d,BCA327066759,Pembelian Pulsa - Tri Rp20.000 0008970012730,20000.0000,
2024-12-31 13:51:42.962206,2024-12-31 13:51:43.356009,d0277c2f-da1e-4e01-b3f5-c2c795cfec08,8888077875,888,10000000.0000,C,e556adb0-fc88-4038-9408-c055d35d28aa,BCA898907690,MBSTRF 0010468379(Cassandra ) to 8888077875(Cassandra ) - Wadiah Initial Fund,,10000000.0000
2024-12-31 13:51:20.170552,2024-12-31 13:51:20.568394,e8414286-6889-4416-ba67-3090aec86884,8885066665,888,23000.0000,D,1f423fae-7a63-4522-b22d-468f41d64835,BCA157344182,QR InterActive Corp,23000.0000,
2024-12-31 12:32:25.498042,2024-12-31 12:32:25.860762,f11c2553-c428-4a59-91af-7bd6908c4e8a,8885066665,888,10000.0000,C,62600734-d8de-48bf-ab47-ee7e71f71880,BCA463055902R,REVERSAL QR InterActive Corp,,10000.0000
2024-12-31 12:32:24.411987,2024-12-31 12:32:24.857789,fbb0a9f3-9ab9-415b-86f0-18d858549185,8885066665,888,10000.0000,D,eab74d8e-8bff-40c7-a1a2-d1cb22ccd873,BCA463055902,QR InterActive Corp,10000.0000,
2024-12-31 12:11:59.497423,2024-12-31 12:11:59.871016,986f3a70-a7fb-41e4-a62d-adb26ba6939f,8888060053,888,9022500.0000,D,6fd1739c-e8f2-463e-9b44-0914035262ac,BCA917588970,Disbursement Gold Financing 8888077859 SoF 8888060053 999EMB24001144,9022500.0000,
2024-12-31 12:11:59.497423,2024-12-31 12:11:59.871016,986f3a70-a7fb-41e4-a62d-adb26ba6939f,8888060053,888,9022500.0000,C,6fd1739c-e8f2-463e-9b44-0914035262ac,BCA917588970,Disbursement Gold Financing 8888077859 SoF 8888060053 999EMB24001144,,9022500.0000
2024-12-31 12:10:10.139404,2024-12-31 12:10:10.576907,93ab1b10-5077-44e1-a171-825041bac29f,8888060053,888,10000.0000,D,e1607248-704d-4207-8a13-6e3aad032640,BCA15659449,UM/999EMB24001144,10000.0000,
2024-12-31 12:10:10.139404,2024-12-31 12:10:10.576907,93ab1b10-5077-44e1-a171-825041bac29f,8888060053,888,100000.0000,D,e1607248-704d-4207-8a13-6e3aad032640,BCA15659449,UM/999EMB24001144,100000.0000,
